key,source_location,ui_area,text_type,en,de_suggested,context,placeholders,notes,review_status
results.button.go_to_upload,src/psm_tool/ui/pages/2_results.py,results,button,Go to Upload,Zum Upload,Navigation button to upload page from results/export empty states,,Button label; DE optimized for MR/Product/Management audience,reviewed
results.notice.no_product_values,src/psm_tool/ui/pages/2_results.py,results,warning,No product values available in dataset.,Im Datensatz sind keine Produktwerte verfügbar.,Warning when product dimension is missing,,Status message; DE optimized for MR/Product/Management audience,reviewed
results.notice.no_country_values,src/psm_tool/ui/pages/2_results.py,results,warning,No country values available for selected product.,Für das ausgewählte Produkt sind keine Länderwerte verfügbar.,Warning when segment values are missing for selected product,,Status message; DE optimized for MR/Product/Management audience,reviewed
results.notice.no_data_for_selection,src/psm_tool/ui/pages/2_results.py,results,warning,No data for selected product/country.,Keine Daten für die ausgewählte Produkt-/Länderkombination verfügbar.,Warning when selection yields empty group,,Status message; DE optimized for MR/Product/Management audience,reviewed
results.section.analysis_controls,src/psm_tool/ui/pages/2_results.py,results,title,Analysis Controls,Analyse-Einstellungen,Results controls section header,,Section title; DE optimized for MR/Product/Management audience,reviewed
results.toggle.snap_increment,src/psm_tool/ui/pages/2_results.py,results,toggle,Snap to currency increment,Auf Währungsinkrement runden,Toggle for automatic currency snap on grid,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.toggle.plausibility,src/psm_tool/ui/pages/2_results.py,results,toggle,Apply plausibility filter (strict ordering),Plausibilitätsfilter anwenden (strikte Reihenfolge),Toggle for strict PSM ordering filter,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.toggle.plausibility.help,src/psm_tool/ui/pages/2_results.py,results,tooltip,Rule: too_cheap < bargain < expensive_acceptable < too_expensive,Regel: too_cheap < bargain < expensive_acceptable < too_expensive,Help text for plausibility filter toggle,,Keep technical column names; DE optimized for MR/Product/Management audience,reviewed
results.toggle.outlier_enabled,src/psm_tool/ui/pages/2_results.py,results,toggle,Outlier filter enabled,Ausreißerfilter aktivieren,Toggle for outlier filtering,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.selectbox.outlier_level,src/psm_tool/ui/pages/2_results.py,results,label,Outlier level,Ausreißerstufe,Selectbox label for outlier filter strength,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.outlier.level.mild,src/psm_tool/ui/pages/2_results.py,results,label,Mild,Mild,Outlier level option,,Keep short scale wording; DE optimized for MR/Product/Management audience,reviewed
results.outlier.level.medium,src/psm_tool/ui/pages/2_results.py,results,label,Medium,Mittel,Outlier level option,,Option label; DE optimized for MR/Product/Management audience,reviewed
results.outlier.level.strict,src/psm_tool/ui/pages/2_results.py,results,label,Strict,Streng,Outlier level option,,Option label; DE optimized for MR/Product/Management audience,reviewed
results.toggle.include_neutral_puki,src/psm_tool/ui/pages/2_results.py,results,toggle,Include neutral PUKI (<=3) in analysis,Neutralen PUKI (≤3) in die Analyse einbeziehen,Toggle for relaxed PUKI threshold,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.caption.puki_missing,src/psm_tool/ui/pages/2_results.py,results,caption,PUKI column missing: analysis population filter is not applied.,PUKI-Spalte fehlt: Der Analysepopulationsfilter wird nicht angewendet.,Caption shown when no PUKI column exists,,Status/caveat text; DE optimized for MR/Product/Management audience,reviewed
results.toggle.economics,src/psm_tool/ui/pages/2_results.py,results,toggle,Economics,Economics,Toggle for economics/profit view,,Terminology likely kept in English; DE optimized for MR/Product/Management audience,reviewed
results.input.unit_cost,src/psm_tool/ui/pages/2_results.py,results,label,Unit cost,Stückkosten,Number input label for unit cost,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.input.unit_cost.help,src/psm_tool/ui/pages/2_results.py,results,tooltip,Same currency as selected country ({currency}). Used only for calculations and exports in this session.,Gleiche Währung wie das ausgewählte Land ({currency}). Wird nur in dieser Session für Berechnungen und Exporte verwendet.,Help text for unit-cost input,{currency},Dynamic help text; DE optimized for MR/Product/Management audience,reviewed
results.input.tested_price,src/psm_tool/ui/pages/2_results.py,results,label,Tested Price,Getesteter Preis,Text input label for tested price benchmark,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.input.tested_price.placeholder,src/psm_tool/ui/pages/2_results.py,results,label,Enter price,Preis eingeben,Placeholder in tested price text input,,Input placeholder; DE optimized for MR/Product/Management audience,reviewed
results.input.tested_price.help,src/psm_tool/ui/pages/2_results.py,results,tooltip,Positive numeric price to show as a benchmark line on charts.,"Positiver numerischer Preis, der in den Charts als Benchmark-Linie angezeigt wird.",Help text for tested price input,,Tooltip/help text; DE optimized for MR/Product/Management audience,reviewed
results.toggle.show_tested_price,src/psm_tool/ui/pages/2_results.py,results,toggle,Show Tested Price,Getesteten Preis anzeigen,Toggle to enable tested-price overlay,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.selectbox.grid_mode,src/psm_tool/ui/pages/2_results.py,results,label,Grid mode,Grid-Modus,Selectbox label for grid mode,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.grid_mode.auto,src/psm_tool/ui/pages/2_results.py,results,label,auto,Auto,Grid mode option,,Keep technical option short; DE optimized for MR/Product/Management audience,reviewed
results.grid_mode.manual,src/psm_tool/ui/pages/2_results.py,results,label,manual,Manuell,Grid mode option,,Option label; DE optimized for MR/Product/Management audience,reviewed
results.input.manual_min,src/psm_tool/ui/pages/2_results.py,results,label,Manual min,Manuelles Minimum,Manual grid min input label,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.input.manual_max,src/psm_tool/ui/pages/2_results.py,results,label,Manual max,Manuelles Maximum,Manual grid max input label,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.input.manual_step,src/psm_tool/ui/pages/2_results.py,results,label,Manual step,Manuelle Schrittweite,Manual grid step input label,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.tabs.psm,src/psm_tool/ui/pages/2_results.py,results,tab,PSM,PSM,Results tab label,,Abbreviation kept; DE optimized for MR/Product/Management audience,reviewed
results.tabs.turnover,src/psm_tool/ui/pages/2_results.py,results,tab,Purchase Intention + Turnover Index,Kaufabsicht + Turnover Index,Results tab label,,Keep Turnover Index in English per terminology; DE optimized for MR/Product/Management audience,reviewed
results.tabs.profit,src/psm_tool/ui/pages/2_results.py,results,tab,Profit Index (0-100),Profit Index (0-100),Results tab label,,Metric name kept in English; DE optimized for MR/Product/Management audience,reviewed
results.tabs.nms,src/psm_tool/ui/pages/2_results.py,results,tab,NMS Trial + Revenue,NMS Trial + Revenue,Results tab label,,Trial and Revenue kept in English; DE optimized for MR/Product/Management audience,reviewed
results.tabs.kpi_summary,src/psm_tool/ui/pages/2_results.py,results,tab,KPI Summary,KPI-Übersicht,Results tab label,,May stay English for deck consistency; DE optimized for MR/Product/Management audience,reviewed
results.tabs.quality_control,src/psm_tool/ui/pages/2_results.py,results,tab,Quality Control,Qualitätskontrolle,Results tab label,,Tab label; DE optimized for MR/Product/Management audience,reviewed
results.marker_override.expander,src/psm_tool/ui/pages/2_results.py,results,label,Marker label placement,Platzierung der Markerlabels,Expander label for manual benchmark label overrides,,UI helper label; DE optimized for MR/Product/Management audience,reviewed
results.marker_override.caption,src/psm_tool/ui/pages/2_results.py,results,caption,Use only when automatic marker label placement still overlaps.,"Nur verwenden, wenn sich automatisch platzierte Markerlabels weiterhin überlappen.",Caption inside marker override expander,,Helper text; DE optimized for MR/Product/Management audience,reviewed
results.marker_override.option.auto,src/psm_tool/ui/pages/2_results.py,results,label,Auto,Auto,Selectbox option for marker label placement,,Keep short UI wording; DE optimized for MR/Product/Management audience,reviewed
results.marker_override.option.left,src/psm_tool/ui/pages/2_results.py,results,label,Left,Links,Selectbox option for marker label placement,,Option label; DE optimized for MR/Product/Management audience,reviewed
results.marker_override.option.right,src/psm_tool/ui/pages/2_results.py,results,label,Right,Rechts,Selectbox option for marker label placement,,Option label; DE optimized for MR/Product/Management audience,reviewed
results.selection.title,src/psm_tool/ui/pages/2_results.py,results,title,Selection,Auswahl,Selection box title under charts,,Section title; DE optimized for MR/Product/Management audience,reviewed
results.selection.grid_details_popover,src/psm_tool/ui/pages/2_results.py,results,tooltip,Grid details,Grid-Details,Popover title for grid info,,Popover label; DE optimized for MR/Product/Management audience,reviewed
results.selection.grid_method_increment,src/psm_tool/ui/pages/2_results.py,results,caption,Method: {grid_method} | Increment: {increment_label},Methode: {grid_method} | Inkrement: {increment_label},Grid detail caption,{grid_method}; {increment_label},Dynamic caption; DE optimized for MR/Product/Management audience,reviewed
results.selection.grid_range,src/psm_tool/ui/pages/2_results.py,results,caption,Range: {min_price:.2f} to {max_price:.2f},Bereich: {min_price:.2f} bis {max_price:.2f},Grid detail caption,{min_price:.2f}; {max_price:.2f},Dynamic caption; DE optimized for MR/Product/Management audience,reviewed
results.selection.grid_step,src/psm_tool/ui/pages/2_results.py,results,caption,Step: {step:.2f},Schrittweite: {step:.2f},Grid detail caption,{step:.2f},Dynamic caption; DE optimized for MR/Product/Management audience,reviewed
results.selection.grid_p05_p95,src/psm_tool/ui/pages/2_results.py,results,caption,P05/P95: {p05_label} / {p95_label},P05/P95: {p05_label} / {p95_label},Grid detail caption,{p05_label}; {p95_label},Dynamic caption; DE optimized for MR/Product/Management audience,reviewed
results.selection.product,src/psm_tool/ui/pages/2_results.py,results,label,Product,Produkt,Selection selectbox label,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.selection.country,src/psm_tool/ui/pages/2_results.py,results,label,Country,Land,Selection selectbox label,,Control label; DE optimized for MR/Product/Management audience,reviewed
results.notice.no_psm_valid,src/psm_tool/ui/pages/2_results.py,results,warning,No PSM-valid respondents after applying ordering checks.,Keine PSM-validen Befragten nach Anwendung der Ordnungsprüfung.,Warning when plausibility filter removes all data,,Status message; DE optimized for MR/Product/Management audience,reviewed
results.notice.plausibility_disabled,src/psm_tool/ui/pages/2_results.py,results,warning,Plausibility filter is disabled: {count} respondents with non-ordered thresholds are included.,Plausibilitätsfilter ist deaktiviert: {count} Befragte mit nicht geordneten Schwellenwerten bleiben in der Analyse.,Warning when invalid order respondents remain in analysis,{count},Dynamic warning message; DE optimized for MR/Product/Management audience,reviewed
